puzzle_id,task_id,pair_index,grid_id,vote_rank,vote_count,vote_share,correct,raw_d,oriented_structural_score,m1_effective_score,m1_rank,mean_q,height,width,candidate_shape,is_invalid,top_k,eligible_mixed,structural_margin
1d0a4b61,1d0a4b61#0,0,0a3badef9334c0eecfe3,5,2,0.001998001998001998,0,0.9752990260243581,0.9752990260243581,0.002013056473442515,6,0.5230019278824329,25,25,25x25,0,5,1,-0.0005073709846040719
1d398264,1d398264#0,0,aaeb32fe55748b5bde09,1,997,0.996003996003996,1,0.9791666865348816,0.9791666865348816,0.9960039534299822,1,0.9975041303197024,12,12,12x12,0,5,1,-0.004629611968994141
1d398264,1d398264#0,0,736d4f440cda4c3cd021,2,2,0.001998001998001998,0,0.9745370348294576,0.9745370348294576,0.0019887732388918023,2,0.17560278624296188,12,12,12x12,0,5,1,-0.004629611968994141
1d398264,1d398264#0,0,0ee7b57aa5453e09427b,3,1,0.000999000999000999,0,0.9837962985038757,0.9837962985038757,0.0010036366655708675,3,0.2125203013420105,12,12,12x12,0,5,1,-0.004629611968994141
1d398264,1d398264#0,0,3a1e1c32d6d2b58580dd,4,1,0.000999000999000999,0,0.9837962985038757,0.9837962985038757,0.0010036366655708675,4,0.2022484689950943,12,12,12x12,0,5,1,-0.004629611968994141
1d398264,1d398264#1,1,94727d0c69b2d9676958,1,724,0.7232767232767233,1,0.978515625,0.978515625,0.7212453945081173,1,0.9959751773028742,16,16,16x16,0,5,1,-0.01123046875
1d398264,1d398264#1,1,5cfafc8be64d9e786408,2,136,0.13586413586413587,0,0.9892578125,0.9892578125,0.13694578440322022,2,0.41659112263690024,16,16,16x16,0,5,1,-0.01123046875
1d398264,1d398264#1,1,3356bcc755a19d52e398,3,47,0.04695304695304695,0,0.98974609375,0.98974609375,0.04734996642003131,3,0.40035185091038966,16,16,16x16,0,5,1,-0.01123046875
1d398264,1d398264#1,1,8a33ef74d70b8ce8148f,4,40,0.03996003996003996,0,0.98779296875,0.98779296875,0.04021921384765286,4,0.3579911429435015,16,16,16x16,0,5,1,-0.01123046875
1d398264,1d398264#1,1,c1c57d31425388d48a31,5,15,0.014985014985014986,0,0.9892578125,0.9892578125,0.015104314456237502,5,0.34403952956199646,16,16,16x16,0,5,1,-0.01123046875
20981f0e,20981f0e#0,0,d7a6f6983222fe8f2c9f,1,551,0.9565972222222222,1,0.9936651587486267,0.9936651587486267,0.9567112534686014,1,0.9578394423325135,17,13,17x13,0,5,1,0.0
20981f0e,20981f0e#0,0,734bd43c62f91072296d,2,11,0.019097222222222224,0,0.9900452494621277,0.9900452494621277,0.01903048524194818,2,0.3069295327771794,17,13,17x13,0,5,1,0.0
20981f0e,20981f0e#0,0,af5ae1a75c6a6f00547f,3,6,0.010416666666666666,0,0.9936651587486267,0.9936651587486267,0.010417908386227828,3,0.5442915633320808,17,13,17x13,0,5,1,0.0
20981f0e,20981f0e#0,0,c4e0b02293260ce70762,4,5,0.008680555555555556,0,0.9900452494621277,0.9900452494621277,0.008650220564521898,4,0.45158261954784396,17,13,17x13,0,5,1,0.0
20981f0e,20981f0e#0,0,0d30f4d98332324d3716,5,2,0.003472222222222222,0,0.9900452494621277,0.9900452494621277,0.003460088225808759,5,0.9612880349159241,17,13,17x13,0,5,1,0.0
22a4bbc2,22a4bbc2#0,0,e989d67459be47899adf,1,134,0.13386613386613386,1,0.7395942173470026,0.7395942173470026,0.13970909502543194,1,0.8464933870666063,22,4,22x4,0,5,1,-0.0010449343942591227
22a4bbc2,22a4bbc2#0,0,2a62ee58d1c2261f7f56,2,62,0.061938061938061936,0,0.5779780563951908,0.5779780563951908,0.05499491862136971,2,0.8825431357949011,22,4,22x4,0,5,1,-0.0010449343942591227
22a4bbc2,22a4bbc2#0,0,be0f3e5506dc807a6673,3,51,0.05094905094905095,0,0.579022988391562,0.579022988391562,0.04528505072424129,4,0.9736584202916014,22,4,22x4,0,5,1,-0.0010449343942591227
22a4bbc2,22a4bbc2#0,0,fe9daa2c60de79828fb2,4,49,0.04895104895104895,0,0.7406391517412617,0.7406391517412617,0.05114106529874795,3,0.7961278363149993,22,4,22x4,0,5,1,-0.0010449343942591227
22a4bbc2,22a4bbc2#0,0,e15c3ead5d91eaa3ac25,5,41,0.04095904095904096,0,0.735501567751055,0.735501567751055,0.042572222443465306,5,0.8018866759247896,22,4,22x4,0,5,1,-0.0010449343942591227
25094a63,25094a63#0,0,7f15a902456cd71179ef,1,946,0.945054945054945,1,0.844747478311712,0.844747478311712,0.9460095583747575,1,0.9919155835199621,30,30,30x30,0,5,1,-0.0008080872622403534
25094a63,25094a63#0,0,e9af5acfcf8b00e88e85,2,30,0.029970029970029972,0,0.8416161645542491,0.8416161645542491,0.02990650968279845,2,0.9852936287720998,30,30,30x30,0,5,1,-0.0008080872622403534
25094a63,25094a63#0,0,40afa94a7a1a86a7d231,3,15,0.014985014985014986,0,0.8455555655739524,0.8455555655739524,0.015012277890167635,3,0.9875029762585957,30,30,30x30,0,5,1,-0.0008080872622403534
25094a63,25094a63#0,0,ff27b2e02b9ebb07d40e,4,2,0.001998001998001998,0,0.7757575945420698,0.7757575945420698,0.0018666911045854635,4,0.600570484995842,30,30,30x30,0,5,1,-0.0008080872622403534
25094a63,25094a63#0,0,8d3feddfbb718ed82a11,5,1,0.000999000999000999,0,0.7773737473921343,0.7773737473921343,0.0009348552009500608,9,0.9885225296020508,30,30,30x30,0,5,1,-0.0008080872622403534
256b0a75,256b0a75#0,0,1c2be549294831b9ca0b,1,841,0.8401598401598401,1,0.9862443401533014,0.9862443401533014,0.8411454897102767,1,0.9715231069132207,25,26,25x26,0,5,1,0.004796376999686713
256b0a75,256b0a75#0,0,e319539d368df082ba7f,2,40,0.03996003996003996,0,0.9814479631536147,0.9814479631536147,0.0398154910227519,2,0.9387562490999699,25,26,25x26,0,5,1,0.004796376999686713
256b0a75,256b0a75#0,0,93c96700560e4743b672,3,19,0.01898101898101898,0,0.979185518096475,0.979185518096475,0.018869618430858794,3,0.9515176289959958,25,26,25x26,0,5,1,0.004796376999686713
256b0a75,256b0a75#0,0,519bb600f49f8b6e7013,4,15,0.014985014985014986,0,0.9785067877348732,0.9785067877348732,0.014886959521037822,4,0.6700677454471589,25,26,25x26,0,5,1,0.004796376999686713
256b0a75,256b0a75#0,0,4ddf515f088968c0c282,5,9,0.008991008991008992,0,0.971312214346493,0.971312214346493,0.008868143138670258,5,0.6021001802550422,25,26,25x26,0,5,1,0.004796376999686713
292dd178,292dd178#0,0,2fd749da2fb264bd6691,1,983,0.9820179820179821,1,0.9787878870964051,0.9787878870964051,0.9821355325467362,1,0.9886375520745954,11,15,11x15,0,5,1,-0.0006060659885406272
