task_id,puzzle_id,incorrect_distinct_candidates,mean_incorrect_pair_similarity,mean_correct_to_incorrect_similarity
604001fa#0,604001fa,329,0.8828284740447998,0.8758357763290405
60a26a3e#0,60a26a3e,89,0.9405515789985657,0.9564710259437561
639f5a19#0,639f5a19,1001,0.7819188237190247,
64a7c07e#0,64a7c07e,60,0.8864681124687195,
66e6c45b#0,66e6c45b,3,0.8541666865348816,0.8958333134651184
67636eac#0,67636eac,551,0.17443493008613586,0.0055958861485123634
67b4a34d#0,67b4a34d,972,0.3085685968399048,
67c52801#0,67c52801,66,0.8998879790306091,0.9287682771682739
692cd3b6#0,692cd3b6,59,0.7849158644676208,0.8699058890342712
695367ec#0,695367ec,162,0.22536253929138184,
69889d6e#0,69889d6e,34,0.8728699088096619,0.8811764717102051
6df30ad6#0,6df30ad6,5,0.8799999952316284,0.8799999952316284
6ea4a07e#0,6ea4a07e,24,0.5374396443367004,0.5740740895271301
6ea4a07e#1,6ea4a07e,13,0.5769230723381042,0.5128206014633179
7039b2d7#0,7039b2d7,13,0.0,0.0
705a3229#0,705a3229,129,0.9394255876541138,0.9605796337127686
712bf12e#0,712bf12e,196,0.9046247601509094,
73ccf9c2#0,73ccf9c2,633,0.2455451488494873,
759f3fd3#0,759f3fd3,0,,
762cd429#0,762cd429,85,0.7766993641853333,0.8602941036224365
782b5218#0,782b5218,23,0.7580632567405701,0.8495651483535767
79fb03f4#0,79fb03f4,594,0.9302221536636353,
7c8af763#0,7c8af763,457,0.831687867641449,0.8464113473892212
7d419a02#0,7d419a02,215,0.9642006158828735,
7ee1c6ea#0,7ee1c6ea,175,0.9386265873908997,0.9641143083572388
833dafe3#0,833dafe3,944,0.041228946298360825,
845d6e51#0,845d6e51,687,0.9360395669937134,0.9480881094932556
84f2aca1#0,84f2aca1,7,0.9819902777671814,0.9890109300613403
8597cfd7#0,8597cfd7,2,0.0,0.0
85fa5666#0,85fa5666,118,0.9172280430793762,
8719f442#0,8719f442,6,0.9742222428321838,0.9844445586204529
891232d6#0,891232d6,944,0.9048053026199341,
896d5239#0,896d5239,159,0.9455445408821106,0.960796594619751
8cb8642d#0,8cb8642d,598,0.9622846841812134,0.97295081615448
8dae5dfc#0,8dae5dfc,964,0.6916313171386719,
8e2edd66#0,8e2edd66,114,0.8510200381278992,0.8756768703460693
90347967#0,90347967,703,0.8704005479812622,
903d1b4a#0,903d1b4a,160,0.9723629951477051,0.968432605266571
9110e3c5#0,9110e3c5,56,0.5794371962547302,0.5972222089767456
9110e3c5#1,9110e3c5,69,0.544757068157196,0.5990338325500488
917bccba#0,917bccba,82,0.8773189783096313,0.9225948452949524
92e50de0#0,92e50de0,98,0.8720764517784119,0.931628942489624
9356391f#0,9356391f,68,0.8527628183364868,
93b4f4b3#0,93b4f4b3,402,0.6875025033950806,0.6439274549484253
94be5b80#0,94be5b80,886,0.9271080493927002,
95a58926#0,95a58926,1,,0.9898989796638489
97239e3d#0,97239e3d,310,0.9123134016990662,0.9302712678909302
992798f6#0,992798f6,61,0.9144873023033142,0.9193775653839111
99306f82#0,99306f82,985,0.8806290030479431,
