task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
292dd178#0,292dd178,0,1001,11,0.0005900432407212053,0.9820179820179821,0.9880119880119881,0.9940059940059941,91.0,983,0.6363636363636364,0,0.0,1.0,0.717620649347067,0.6738709042282581,0.5580493425640263,dev
29700607#0,29700607,0,1001,131,0.03732502734767906,0.2897102897102897,0.46353646353646355,0.5654345654345654,7.641221374045801,290,0.5190839694656488,0,0.0,0.0,0.14233371686018828,0.41939411710506747,0.38819153152551855,dev
2a5f8217#0,2a5f8217,0,1001,283,0.054717736598778766,0.15484515484515485,0.2257742257742258,0.33466533466533466,3.537102473498233,155,0.657243816254417,0,0.0,0.0,0.3197627193172737,0.34828594384829475,0.3345693333883572,dev
2b01abd0#0,2b01abd0,0,1001,472,0.0404175441686343,0.23276723276723277,0.26473526473526476,0.3536463536463537,2.1207627118644066,233,0.8580508474576272,0,0.0,0.0,0.13841305110568305,0.2231367957724854,0.21374526769076244,test
2c0b0aff#0,2c0b0aff,0,576,425,0.8424082087328798,0.046875,0.08333333333333334,0.140625,1.3552941176470588,27,0.9011764705882352,0,0.0,0.0,0.06760354304229776,0.14213847928516762,0.10675519509530859,dev
2c737e39#0,2c737e39,0,1001,697,0.09289400887995825,0.03496503496503497,0.059940059940059943,0.09690309690309691,1.4361549497847919,35,0.8622668579626973,0,0.0,0.0,0.16006094642267543,0.18372052013124282,0.17721643337396406,test
2f0c5170#0,2f0c5170,0,1001,369,0.5555684238097953,0.06893106893106893,0.12987012987012986,0.2277722277722278,2.7127371273712737,69,0.7479674796747967,0,0.0,0.0,0.12845183142665906,0.15976831293957855,0.10941739384416493,dev
310f3251#0,310f3251,0,1001,37,0.09664443384312926,0.3146853146853147,0.5254745254745254,0.9110889110889111,27.054054054054053,315,0.5405405405405406,0,0.0,1.0,-0.18350472926766426,-0.16972696621290342,-0.29589110865295953,dev
3194b014#0,3194b014,0,1001,3,0.00399001597802795,0.998001998001998,0.9990009990009989,0.9999999999999999,333.6666666666667,999,0.6666666666666666,0,0.0,1.0,,1.0,,test
319f2597#0,319f2597,0,1001,4,9.48003331531222e-05,0.997002997002997,0.998001998001998,0.9999999999999999,250.25,998,0.75,0,0.0,1.0,0.5443310539518174,0.7745966692414834,-0.2581988897471611,test
31adaf00#0,31adaf00,0,576,67,0.047708754754340665,0.2673611111111111,0.53125,0.703125,8.597014925373134,154,0.6119402985074627,0,0.0,0.0,0.2167914255791771,0.3076392683759057,0.24173606023328492,dev
31d5ba1a#0,31d5ba1a,0,1001,1,0.0,1.0,1.0,1.0,1001.0,1001,0.0,0,0.0,1.0,,,,test
31d5ba1a#1,31d5ba1a,1,1001,4,0.0005320020986939733,0.996003996003996,0.9980019980019981,1.0,250.25,997,0.5,0,0.0,1.0,0.8164965809277261,1.0,1.0,test
