task_id,majority_vote_mass,distinct_candidate_grids
782b5218#0,0.968031968031968,24
79369cc6#0,0.1848151848151848,255
7953d61e#0,0.6853146853146853,94
79fb03f4#0,0.04795204795204795,594
7bb29440#0,0.07792207792207792,350
7c8af763#0,0.04995004995004995,458
7c9b52a0#0,0.03596403596403597,659
7d18a6fb#0,0.03196803196803197,662
7d1f7ee8#0,0.7842157842157842,56
7d419a02#0,0.1998001998001998,215
7e02026e#0,0.4635416666666667,54
7ee1c6ea#0,0.6183816183816184,176
817e6c09#0,0.3715277777777778,72
81c0276b#0,0.14485514485514486,304
833dafe3#0,0.016983016983016984,944
845d6e51#0,0.01898101898101898,688
84db8fc4#0,0.8431568431568431,22
84f2aca1#0,0.987012987012987,8
8597cfd7#0,0.7292707292707292,3
85b81ff1#0,0.059940059940059943,282
85fa5666#0,0.12987012987012986,118
8719f442#0,0.7222222222222222,7
88207623#0,0.07792207792207792,470
891232d6#0,0.005994005994005994,944
896d5239#0,0.2137862137862138,160
8a371977#0,0.27372627372627373,397
8b28cd80#0,0.8651348651348651,39
8b28cd80#1,0.9000999000999002,34
8ba14f53#0,0.0899100899100899,233
8cb8642d#0,0.07592407592407592,599
8dae5dfc#0,0.006993006993006993,964
8e2edd66#0,0.23476523476523475,115
8ee62060#0,0.13786213786213786,467
8fbca751#0,0.45565217391304347,38
90347967#0,0.017982017982017984,703
903d1b4a#0,0.5084915084915085,161
9110e3c5#0,0.6113886113886113,57
9110e3c5#1,0.4155844155844156,70
917bccba#0,0.8141858141858141,83
929ab4e9#0,0.11788211788211789,500
92e50de0#0,0.5284715284715285,99
9356391f#0,0.7442557442557443,68
93b4f4b3#0,0.12987012987012986,403
93c31fbe#0,0.13186813186813187,499
94133066#0,0.015984015984015984,828
94414823#0,0.7112887112887113,232
94be5b80#0,0.03196803196803197,886
95a58926#0,0.999000999000999,2
963f59bc#0,0.07492507492507493,299
96a8c0cd#0,0.027972027972027972,640
97239e3d#0,0.3776223776223776,311
9772c176#0,0.9982638888888888,2
981571dc#0,0.013986013986013986,811
992798f6#0,0.5954045954045954,62
99306f82#0,0.003996003996003996,985
9a4bb226#0,0.5004995004995005,62
9b2a60aa#0,0.13486513486513488,318
9b365c51#0,0.09490509490509491,420
9b4c17c4#0,0.04995004995004995,444
9b4c17c4#1,0.0919080919080919,383
9bebae7a#0,0.2829861111111111,51
9c1e755f#0,0.952047952047952,17
9c56f360#0,0.05565217391304348,315
9caba7c3#0,0.997002997002997,4
9ddd00f0#0,0.2137862137862138,210
9def23fe#0,0.9330669330669331,21
9f27f097#0,0.19080919080919082,102
a04b2602#0,0.47152847152847155,66
a096bf4d#0,0.12387612387612387,77
a3f84088#0,0.020833333333333332,507
a406ac07#0,0.17782217782217782,166
a57f2f04#0,0.16283716283716285,601
a59b95c0#0,0.6343656343656343,7
a680ac02#0,0.2757242757242757,126
a8610ef7#0,0.007992007992007992,794
a934301b#0,0.2770034843205575,108
aa18de87#0,0.978021978021978,13
aa300dc3#0,0.7795138888888888,15
aa4ec2a5#0,0.008991008991008992,760
aab50785#0,0.007992007992007992,902
ac0c5833#0,0.036458333333333336,293
ac2e8ecf#0,0.003996003996003996,965
ac3e2b04#0,0.983016983016983,14
ac605cbb#0,0.06493506493506493,487
ad7e01d0#0,0.01098901098901099,892
ae58858e#0,0.7430555555555556,13
aee291af#0,0.0959040959040959,149
af22c60d#0,0.01898101898101898,833
af24b4cc#0,0.7852147852147852,13
b0722778#0,0.11388611388611389,310
b0f4d537#0,0.06893106893106893,420
b15fca0b#0,0.34165834165834164,267
b1fc8b8e#0,0.6111111111111112,4
b1fc8b8e#1,0.5277777777777778,8
b20f7c8b#0,0.1878121878121878,115
b457fec5#0,0.000999000999000999,1001
b4a43f3b#0,0.03296703296703297,597
b7999b51#0,0.13186813186813187,205
b7cb93ac#0,0.054945054945054944,378
b7f8a4d8#0,0.03996003996003996,791
b7fb29bc#0,0.4025974025974026,131
b942fd60#0,0.11288711288711288,276
b9630600#0,0.2916666666666667,23
ba9d41b8#0,0.4985014985014985,62
baf41dbf#0,0.09722222222222222,274
bb52a14b#0,0.16683316683316685,275
bbb1b8b6#0,0.997002997002997,4
bbb1b8b6#1,0.8571428571428571,23
bc4146bd#0,0.9470529470529471,9
bcb3040b#0,0.5194805194805194,109
bd14c3bf#0,0.1875,133
be03b35f#0,0.3628472222222222,8
bf32578f#0,0.7192807192807192,37
bf699163#0,0.9460539460539461,20
bf89d739#0,0.3617391304347826,26
c074846d#0,0.6963036963036963,40
