statistic,retained_puzzles,coverage,accuracy
structural_defect,89,0.7416666666666667,0.03932584269662921
structural_defect,90,0.75,0.03888888888888889
structural_defect,91,0.7583333333333333,0.038461538461538464
structural_defect,92,0.7666666666666667,0.03804347826086957
structural_defect,93,0.775,0.03763440860215054
structural_defect,94,0.7833333333333333,0.03723404255319149
structural_defect,95,0.7916666666666666,0.03684210526315789
structural_defect,96,0.8,0.036458333333333336
structural_defect,97,0.8083333333333333,0.03608247422680412
structural_defect,98,0.8166666666666667,0.03571428571428571
structural_defect,99,0.825,0.03535353535353535
structural_defect,100,0.8333333333333334,0.035
structural_defect,101,0.8416666666666667,0.034653465346534656
structural_defect,102,0.85,0.03431372549019608
structural_defect,103,0.8583333333333333,0.03398058252427184
structural_defect,104,0.8666666666666667,0.03365384615384615
structural_defect,105,0.875,0.03333333333333333
structural_defect,106,0.8833333333333333,0.0330188679245283
structural_defect,107,0.8916666666666667,0.03271028037383177
structural_defect,108,0.9,0.032407407407407406
structural_defect,109,0.9083333333333333,0.03211009174311927
structural_defect,110,0.9166666666666666,0.031818181818181815
structural_defect,111,0.925,0.03153153153153153
structural_defect,112,0.9333333333333333,0.03125
structural_defect,113,0.9416666666666667,0.030973451327433628
structural_defect,114,0.95,0.03070175438596491
structural_defect,115,0.9583333333333334,0.030434782608695653
structural_defect,116,0.9666666666666667,0.03017241379310345
structural_defect,117,0.975,0.029914529914529916
structural_defect,118,0.9833333333333333,0.029661016949152543
structural_defect,119,0.9916666666666667,0.029411764705882353
structural_defect,120,1.0,0.029166666666666667
random_order_expectation,1,0.008333333333333333333333333333,0.029166666666666667
random_order_expectation,2,0.01666666666666666666666666667,0.029166666666666667
random_order_expectation,3,0.025,0.029166666666666667
random_order_expectation,4,0.03333333333333333333333333333,0.029166666666666667
random_order_expectation,5,0.04166666666666666666666666667,0.029166666666666667
random_order_expectation,6,0.05,0.029166666666666667
random_order_expectation,7,0.05833333333333333333333333333,0.029166666666666667
random_order_expectation,8,0.06666666666666666666666666667,0.029166666666666667
random_order_expectation,9,0.075,0.029166666666666667
random_order_expectation,10,0.08333333333333333333333333333,0.029166666666666667
random_order_expectation,11,0.09166666666666666666666666667,0.029166666666666667
random_order_expectation,12,0.1,0.029166666666666667
random_order_expectation,13,0.1083333333333333333333333333,0.029166666666666667
random_order_expectation,14,0.1166666666666666666666666667,0.029166666666666667
random_order_expectation,15,0.125,0.029166666666666667
random_order_expectation,16,0.1333333333333333333333333333,0.029166666666666667
random_order_expectation,17,0.1416666666666666666666666667,0.029166666666666667
random_order_expectation,18,0.15,0.029166666666666667
random_order_expectation,19,0.1583333333333333333333333333,0.029166666666666667
random_order_expectation,20,0.1666666666666666666666666667,0.029166666666666667
random_order_expectation,21,0.175,0.029166666666666667
random_order_expectation,22,0.1833333333333333333333333333,0.029166666666666667
random_order_expectation,23,0.1916666666666666666666666667,0.029166666666666667
random_order_expectation,24,0.2,0.029166666666666667
random_order_expectation,25,0.2083333333333333333333333333,0.029166666666666667
random_order_expectation,26,0.2166666666666666666666666667,0.029166666666666667
random_order_expectation,27,0.225,0.029166666666666667
random_order_expectation,28,0.2333333333333333333333333333,0.029166666666666667
random_order_expectation,29,0.2416666666666666666666666667,0.029166666666666667
random_order_expectation,30,0.25,0.029166666666666667
random_order_expectation,31,0.2583333333333333333333333333,0.029166666666666667
random_order_expectation,32,0.2666666666666666666666666667,0.029166666666666667
random_order_expectation,33,0.275,0.029166666666666667
random_order_expectation,34,0.2833333333333333333333333333,0.029166666666666667
random_order_expectation,35,0.2916666666666666666666666667,0.029166666666666667
random_order_expectation,36,0.3,0.029166666666666667
random_order_expectation,37,0.3083333333333333333333333333,0.029166666666666667
random_order_expectation,38,0.3166666666666666666666666667,0.029166666666666667
random_order_expectation,39,0.325,0.029166666666666667
random_order_expectation,40,0.3333333333333333333333333333,0.029166666666666667
random_order_expectation,41,0.3416666666666666666666666667,0.029166666666666667
random_order_expectation,42,0.35,0.029166666666666667
random_order_expectation,43,0.3583333333333333333333333333,0.029166666666666667
random_order_expectation,44,0.3666666666666666666666666667,0.029166666666666667
random_order_expectation,45,0.375,0.029166666666666667
random_order_expectation,46,0.3833333333333333333333333333,0.029166666666666667
random_order_expectation,47,0.3916666666666666666666666667,0.029166666666666667
random_order_expectation,48,0.4,0.029166666666666667
random_order_expectation,49,0.4083333333333333333333333333,0.029166666666666667
random_order_expectation,50,0.4166666666666666666666666667,0.029166666666666667
random_order_expectation,51,0.425,0.029166666666666667
random_order_expectation,52,0.4333333333333333333333333333,0.029166666666666667
random_order_expectation,53,0.4416666666666666666666666667,0.029166666666666667
random_order_expectation,54,0.45,0.029166666666666667
random_order_expectation,55,0.4583333333333333333333333333,0.029166666666666667
random_order_expectation,56,0.4666666666666666666666666667,0.029166666666666667
random_order_expectation,57,0.475,0.029166666666666667
random_order_expectation,58,0.4833333333333333333333333333,0.029166666666666667
random_order_expectation,59,0.4916666666666666666666666667,0.029166666666666667
random_order_expectation,60,0.5,0.029166666666666667
random_order_expectation,61,0.5083333333333333333333333333,0.029166666666666667
random_order_expectation,62,0.5166666666666666666666666667,0.029166666666666667
random_order_expectation,63,0.525,0.029166666666666667
random_order_expectation,64,0.5333333333333333333333333333,0.029166666666666667
random_order_expectation,65,0.5416666666666666666666666667,0.029166666666666667
