task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
8b28cd80#0,8b28cd80,0,1001,138,0.3785749011981755,0.08791208791208792,0.14485514485514486,0.27972027972027974,7.253623188405797,88,0.2608695652173913,0,0.0,0.0,0.21456541786770522,0.35635192131638493,0.2769618571924863,dev
8b28cd80#1,8b28cd80,1,1001,135,0.3655950960026533,0.08891108891108891,0.13486513486513485,0.2537462537462537,7.4148148148148145,89,0.18518518518518517,0,0.0,0.0,0.2362976170479044,0.34393081615232785,0.23813106510650375,dev
8ba14f53#0,8ba14f53,0,1001,520,0.8608569889924365,0.03396603396603397,0.06493506493506493,0.11588411588411587,1.925,34,0.6480769230769231,0,0.0,0.0,0.17407779175381374,0.18655613479304323,0.16258563245527194,dev
8cb8642d#0,8cb8642d,0,1001,993,0.6407042414289325,0.004995004995004995,0.007992007992007992,0.012987012987012988,1.0080563947633434,5,0.9959718026183283,0,0.0,0.0,0.02231500816299709,0.02470203790869836,0.02164876680192622,test
8dae5dfc#0,8dae5dfc,0,1001,1000,0.7065412524131873,0.001998001998001998,0.002997002997002997,0.005994005994005994,1.001,2,0.999,0,0.0,0.0,-0.023837976139712943,-0.021645978333762327,-0.023837976139712943,test
8e2edd66#0,8e2edd66,0,1001,124,0.7217642705365827,0.0969030969030969,0.1918081918081918,0.34865134865134867,8.07258064516129,97,0.2661290322580645,0,0.0,0.0,-0.22432999313541724,0.3267528929963186,0.1741913293454269,test
8ee62060#0,8ee62060,0,1001,583,0.8488085857658932,0.008991008991008992,0.016983016983016984,0.03696303696303696,1.7169811320754718,9,0.6037735849056604,0,0.0,0.0,-0.22328163030430037,-0.16229468055408652,-0.2126715718176814,dev
8fbca751#0,8fbca751,0,575,255,0.3133868932064179,0.04869565217391304,0.08869565217391304,0.19304347826086957,2.2549019607843137,28,0.788235294117647,0,0.0,0.0,0.24604124730240312,0.26094876052498905,0.17665104303055854,dev
90347967#0,90347967,0,1001,755,0.12390850005382614,0.013986013986013986,0.026973026973026976,0.059940059940059943,1.3258278145695364,14,0.871523178807947,0,0.0,0.0,0.02825218849106363,0.11751731995234772,0.11140709294512359,test
903d1b4a#0,903d1b4a,0,1001,963,0.8248479839193714,0.004995004995004995,0.007992007992007992,0.01698301698301698,1.039460020768432,5,0.9688473520249221,0,0.0,0.0,-0.11847344889562131,-0.11212043671541033,-0.11529011479510674,test
9110e3c5#0,9110e3c5,0,1001,851,0.9276878887171582,0.03696303696303696,0.048951048951048945,0.07892107892107891,1.1762632197414806,37,0.9447708578143361,1,0.000999000999000999,0.0,-0.15696963301096512,-0.027577518302215158,-0.044407421298980634,test
